Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
Single Family Residential,$79/month,2006,Washington Woods,,"$1,395,000","$8,967", 3, Naperville Central High School,12 Baker Ln 60565,5.0,5.5,"4,929"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 4, 3, 11, 3," Full, Walkout"," Finished,Exterior Access",," $23,318"
Townhouse,$326/month,2022,Naper Commons,,"$446,411","$3,028", 2, Wheaton Warrenville South H S,1261 Josiah RD 60563,3.0,2.5,"2,100", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished,,
Single Family Residential,$56/month,2021,Wagner Farms,,"$606,297","$3,726", 2, Neuqua Valley High School,2983 Lancelot Ln 60564,5.0,3,"2,995", Natural Gas, Central Air, 3,, 5, 6, Full," Unfinished,Bathroom Rough-In",,
Condo,$449/month,1979,Naperville,,"$141,900","$1,314", 2,,1041 W Ogden Ave 60563,2.0,2,"1,050", Baseboard,, 2,, 0, 0,, None,," $1,901"
Single Family Residential,,1984,Old Farm,,"$279,000","$1,765", 1, Naperville Central High School,2302 Wayland Ln 60565,2.0,2,991," Natural Gas, Forced Air", Central Air, 2,, 3, 0,, Slab,," $4,507.44"
Single Family Residential,$90/month,2022,Naper Commons,,"$690,088","$3,678", 2, Wheaton Warrenville South H S,1220 SNAPPER RD 60563,4.0,2.5,"2,985", Natural Gas, Central Air, 2, 1, 0, 0, Full," Unfinished,Bathroom Rough-In",,
Single Family Residential,,1987,Naperville,,"$479,000","$3,243", 3, Neuqua Valley High School,9638 Book Rd 60564,4.0,2,"3,450", Natural Gas, Central Air, 2,, 0, 8, Partial," Unfinished,Crawl",," $10,297.02"
Townhouse,$326/month,2022,Naper Commons,,"$512,104","$3,426", 2, Wheaton Warrenville South H S,1259 Josiah RD 60563,3.0,2.5,"2,474", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished,,
Townhouse,,1988,Naperville,,"$425,000","$2,714", 2, Naperville North High School,626 Windham Ln 60563,3.0,3.5,"1,941", Electric, Central Air, 3, 1, 0, 0, Full, Finished,," $7,178.92"
Townhouse,$336/month,2022,Naper Commons,,"$460,464","$3,123", 2,,1245 Josiah RD 60563,3.0,2.5,"2,100", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished,,
Single Family Residential,$90/month,2022,Naper Commons,,"$708,124","$3,768", 2, Wheaton Warrenville South H S,2323 LUCENT LN 60563,5.0,3,"3,160", Natural Gas, Central Air, 3,, 0, 0, Full," Unfinished,Bathroom Rough-In",,
Single Family Residential,,1979,Naperville,,"$620,000","$3,964", 2, Naperville North High School,1337 Pamela Ct 60540,5.0,3.5,"2,564", Natural Gas, Central Air, 3, 1, 7, 0, Full, Finished," 1,170"," $10,527.22"
Single Family Residential,$74/month,2002,Bonnema Woods,,"$1,500,000","$10,016", 3, Naperville Central High School,1219 Bonnema Ct 60565,6.0,6.5,"6,643"," Natural Gas, Forced Air, Radiant"," Central Air, Zoned", 6, 1, 10, 6," Full, Walkout"," Finished,Exterior Access",," $29,697.64"
Townhouse,$421/month,2012,Carillon Club,,"$410,000","$3,045", 2,,2626 Camberley Cir 60564,2.0,2,"1,600", Natural Gas, Central Air, 2,, 2, 4, Full, Unfinished,," $6,993.46"
Single Family Residential,$53/month,1977,Hobson West,,"$629,900","$4,095", 2, Naperville Central High School,615 Bunker Hill Ct 60540,4.0,2.5,"2,642", Natural Gas, Central Air, 2, 1, 4, 7, Partial," Partially Finished,Crawl"," 1,040"," $10,878"
Townhouse,$336/month,2022,Naper Commons,,"$540,332","$3,607", 2, Wheaton Warrenville South H S,1249 Josiah RD 60563,2.0,2,"2,697", Natural Gas, Central Air, 2,, 0, 0, Full, Unfinished,,
Single Family Residential,$90/month,2022,Naper Commons,,"$647,622","$3,467", 2, Wheaton Warrenville South H S,1260 SNAPPER RD 60563,4.0,2.5,"3,100", Natural Gas, Central Air, 2, 1, 0, 0, Full," Unfinished,Bathroom Rough-In,9 ft + pour",,
Townhouse,$255/month,1976,Country Lakes,,"$275,000","$1,991", 1, Metea Valley High School,30W331 Pinehurst Dr 60563,3.0,2.5,"1,500"," Natural Gas, Forced Air", Central Air, 2, 1, 2, 0, Full, Finished,," $4,409.86"
Single Family Residential,$90/month,2022,Naper Commons,,"$676,361","$3,610", 2, Wheaton Warrenville South H S,1248 SNAPPER RD 60563,4.0,2.5,"3,100", Natural Gas, Central Air, 2, 1, 0, 0, Full," Unfinished,Bathroom Rough-In,9 ft + pour",,
Single Family Residential,$50/month,2022,Naperville,,"$639,000","$4,410", 1,,3687 Ambrosia Dr 60564,3.0,2.5,"2,747"," Natural Gas, Electric", Central Air, 2, 1, 0, 0, Full, Unfinished,," $14,151"
Single Family Residential,,2019,Naperville,,"$2,500,000","$15,057", 4, Naperville North High School,605 W Jefferson Ave 60540,5.0,4.5,"4,617"," Natural Gas, Forced Air", Central Air, 4, 1, 4, 6, Full, Finished," 2,188"," $31,338"
Single Family Residential,,1971,Pembroke Greens,,"$580,000","$3,683", 2, Naperville North High School,1223 Elizabeth Ave 60540,4.0,3,"2,509"," Natural Gas, Forced Air", Central Air, 2, 2, 3, 4, Full," Finished,Storage Space",," $9,553"
Single Family Residential,,2004,East Highlands,,"$1,350,000","$8,316", 4, Naperville Central High School,649 Wehrli Dr 60540,4.0,3.5,"3,400"," Natural Gas, Electric", Central Air, 3, 1, 0, 10," Full, English", Finished,," $19,140.10"
Single Family Residential,,1988,The Fields,,"$475,000","$3,093", 2, Metea Valley High School,1249 Ardmore Dr 60540,3.0,2.5,"2,159"," Natural Gas, Forced Air", Central Air, 2, 1, 5, 3, Partial, Finished,," $8,736.90"
Single Family Residential,$54/month,2004,Ashbury,,"$999,999","$6,699", 3, Neuqua Valley High School,3132 Landore Dr 60564,5.0,5,"4,360"," Natural Gas, Forced Air", Central Air, 5,, 11, 3, Full, Finished,," $19,996"
Single Family Residential,$71/month,1994,Breckenridge Estates,,"$739,000","$4,922", 3, Neuqua Valley High School,2608 Winter Park Dr 60565,6.0,4,"3,622"," Natural Gas, Forced Air", Central Air, 4,, 9, 5, Full," Finished,Egress Window",," $14,067.42"
Single Family Residential,,1913,Naperville,,"$850,000","$5,365", 6, Naperville North High School,21 S Columbia St 60540,4.0,2.5,"3,000", Natural Gas, Central Air, 2, 1, 1, 9, Partial, Partially Finished, 980," $13,603.20"
Townhouse,$320/month,1997,Naperville,,"$459,000","$3,109", 2.5, Waubonsie Valley High School,842 Havenshire Rd 60565,4.0,4,"2,900"," Natural Gas, Electric", Central Air, 4,, 0, 0, Full, Finished,," $6,046.78"
Condo,$240/month,1985,Chantecleer Lakes,,"$150,000","$1,197", 1, Metea Valley High School,1577 Raymond Dr 60563,1.0,1,675, Natural Gas, Central Air, 1,, 3, 0,, None,," $2,523.38"
Townhouse,$326/month,2022,Naper Commons,,"$446,711","$3,030", 2, Wheaton Warrenville South H S,1257 Josiah RD 60563,3.0,2.5,"2,100", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished,,
Single Family Residential,$79/month,2006,Washington Woods,,"$1,395,000","$8,967", 3, Naperville Central High School,12 Baker Ln 60565,5.0,5.5,"4,929"," Natural Gas, Forced Air, Zoned"," Central Air, Zoned", 4, 3, 11, 3," Full, Walkout"," Finished,Exterior Access",," $23,318"
Townhouse,$326/month,2022,Naper Commons,,"$446,411","$3,028", 2, Wheaton Warrenville South H S,1261 Josiah RD 60563,3.0,2.5,"2,100", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished,,
Single Family Residential,$56/month,2021,Wagner Farms,,"$606,297","$3,726", 2, Neuqua Valley High School,2983 Lancelot Ln 60564,5.0,3,"2,995", Natural Gas, Central Air, 3,, 5, 6, Full," Unfinished,Bathroom Rough-In",,
Condo,$449/month,1979,Naperville,,"$141,900","$1,314", 2,,1041 W Ogden Ave 60563,2.0,2,"1,050", Baseboard,, 2,, 0, 0,, None,," $1,901"
Single Family Residential,,1984,Old Farm,,"$279,000","$1,765", 1, Naperville Central High School,2302 Wayland Ln 60565,2.0,2,991," Natural Gas, Forced Air", Central Air, 2,, 3, 0,, Slab,," $4,507.44"
Single Family Residential,,1993,Naperville,,"$679,000","$4,350", 3, Neuqua Valley High School,516 Rock Spring Ct 60565,4.0,3.5,"3,000", Natural Gas, Central Air, 3, 1, 8, 3," Full, English"," Finished,Unfinished"," 1,116"," $11,631.44"
Single Family Residential,$122/month,2017,Ashwood Park,,"$999,900","$6,634", 3, Waubonsie Valley High School,4247 Chinaberry Ln 60564,4.0,3.5,"4,400"," Natural Gas, Forced Air", Central Air, 3, 1, 7, 2, Full," Unfinished,Bathroom Rough-In",," $18,412.90"
Single Family Residential,,1989,Naperville,,"$529,900","$3,450", 2, Naperville Central High School,20 Redstart Rd 60565,4.0,2.5,"2,850"," Natural Gas, Forced Air", Central Air, 2, 1, 8, 6, Partial," Unfinished,Crawl,Storage Space"," 1,208"," $9,748"
Single Family Residential,,1976,Old Farm,,"$469,900","$2,960", 2, Naperville Central High School,2010 Walton Ct 60565,4.0,2.5,"2,164"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 9, Full, Finished,," $7,444.54"
Condo,$265/month,1992,Naperville,,"$195,000","$1,431", 2,,48 Harbor Ct 60565,2.0,2,"1,144", Natural Gas, Central Air, 2,, 4, 0,, None,," $2,341.32"
Townhouse,$450/month,2003,Naperville Station,,"$699,900","$4,962", 2, Naperville North High School,109 Spring Ave 60540,3.0,3,"2,742"," Natural Gas, Forced Air"," Central Air, Zoned", 2, 2, 4, 5, Full, Finished, 603," $12,332"
Townhouse,$305/month,1998,Riverbrook,,"$230,000","$1,808", 1, Metea Valley High School,1312 Woodchuck Ln 60563,2.0,1.5,"1,406", Natural Gas, Central Air, 1, 1, 3, 0,, Slab,," $4,301.64"
Condo,$356/month,2000,Riverbrook West,,"$295,000","$2,260", 2, Metea Valley High School,1710 Windward Ave 60563,3.0,2.5,"1,540"," Natural Gas, Forced Air", Central Air, 2, 1, 5, 0, Full, Finished,," $5,219.98"
Single Family Residential,$25/month,2001,Penncross Knoll,,"$780,000","$5,008", 3, Waubonsie Valley High School,3243 Lapp Ln 60564,6.0,3.5,"3,797", Natural Gas, Central Air, 3, 1, 6, 5," Full, English", Finished,," $13,202.80"
Townhouse,$288/month,1998,Carrolwood,,"$229,900","$1,746", 1, Metea Valley High School,726 Blossom Ct 60540,2.0,1.5,"1,216"," Natural Gas, Forced Air", Central Air, 1, 1, 2, 0,, None,," $3,763.42"
Single Family Residential,,1976,Andermann Acres,,"$399,000","$2,546", 2, Neuqua Valley High School,10351 S Brenner Ct 60564,3.0,2,"1,817"," Natural Gas, Forced Air", Central Air, 2,, 5, 3, English, Finished,," $6,717.12"
